Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C22, C5",0805,5,0.1u,C49678
"C10, C16, C19, C20, C8, C9",0603,6,0.1u,C14663
"C12, C2",0805,2,180p,
"C13, C3",0805,2,2000p,
"C14, C4",0805,2,150p,
"C17, C18, C21, C6, C7",0805,5,10.0u/25V,
C23,CP_EIA-7343-31_Kemet-D,1,220.0/16V,
C24,CP_EIA-3528-21_Kemet-B,1,47.0/16V,
"D1, D2, D3, D4",SOT-23,4,BAT54S,
"Q1, Q2, Q4, Q6",SOT-23,4,AO3400,
Q3,SOT-23,1,S8050,
Q5,SOT-23,1,AP3101,
"R1, R12, R32, R37",0805,4,100K,
"R10, R17, R39, R46",0805,4,330K,
"R11, R16, R21, R41, R45, R50",0805,6,2K7,
"R13, R42",0805,2,6K8,
"R14, R15, R20, R43, R44, R48",0805,6,47K,
"R18, R47",0805,2,3K9,
"R19, R49",0805,2,56K,
"R2, R3, R62, R63",0805,4,47,
"R22, R24, R34, R35, R36, R5, R51, R52, R8, R9",0805,10,10K,
"R23, R55",0805,2,2M2,
"R25, R29, R56",0805,3,1K,
R26,0805,1,3K3,
R27,0805,1,2K2,
R28,0805,1,220,
"R30, R31, R38, R40, R6, R60, R7",0805,7,470,
"R33, R57, R58, R59",0805,4,N/C,
R4,0805,1,22K,
"R53, R54",0805,2,4K7,
R61,0805,1,760,
