Designator,Mid X,Mid Y,Rotation,Layer
C1,204.47,-54.925,90.0,top
C10,193.04,-50.8,90.0,top
C11,204.47,-75.184,90.0,top
C12,211.455,-66.929,90.0,top
C13,204.47,-67.5405,270.0,top
C14,194.945,-79.309,90.0,top
C15,195.58,-67.564,0.0,top
C16,185.166,-81.534,180.0,top
C17,222.504,-90.231,90.0,top
C18,196.342,-91.374,90.0,top
C19,207.01,-71.234,90.0,top
C2,211.455,-46.355,90.0,top
C20,193.04,-71.374,90.0,top
C21,227.457,-72.644,180.0,top
C22,227.65,-78.74,0.0,top
C23,226.06,-86.8035,270.0,top
C24,180.34,-42.418,180.0,top
C3,204.47,-46.355,270.0,top
C4,194.945,-58.7915,90.0,top
C5,195.265,-46.99,0.0,top
C6,185.5235,-42.164,0.0,top
C7,185.5235,-44.516,180.0,top
C8,185.166,-61.214,180.0,top
C9,207.01,-50.8,90.0,top
D1,192.6105,-84.648,0.0,top
D2,180.848,-89.408,0.0,top
D3,191.77,-93.472,0.0,top
D4,180.7695,-84.648,0.0,top
D5,155.702,-98.552,180.0,top
D6,160.528,-98.552,180.0,top
D7,165.354,-98.552,180.0,top
D8,170.307,-98.552,180.0,top
J1,191.77,-88.9,270.0,top
J10,149.86,-66.04,180.0,top
J2,220.98,-44.196,270.0,top
J3,177.546,-97.282,90.0,top
J4,227.584,-54.864,270.0,top
J5,220.98,-64.77,270.0,top
J6,218.5,-96.0,0.0,top
J7,218.5,-85.5,0.0,top
J8,200.533,-85.5,0.0,top
J9,200.56,-96.0,0.0,top
Q1,188.3895,-84.648,0.0,top
Q2,180.848,-93.472,0.0,top
Q3,227.777,-65.8645,90.0,top
Q4,180.9519,-57.404,0.0,top
Q5,187.706,-93.472,0.0,top
Q6,181.0281,-77.724,0.0,top
R1,184.5795,-86.045,180.0,top
R10,207.01,-58.6975,270.0,top
R11,204.47,-58.6975,270.0,top
R12,211.1775,-42.236686,180.0,top
R13,204.47,-50.8,270.0,top
R14,207.3675,-42.24158,180.0,top
R15,208.915,-46.355,90.0,top
R16,207.01,-54.8875,270.0,top
R17,201.93,-46.355,90.0,top
R18,200.025,-58.7775,270.0,top
R19,197.485,-58.754,90.0,top
R2,184.5075,-88.265,0.0,top
R20,197.8425,-42.545,180.0,top
R21,201.295,-54.5865,90.0,top
R22,201.6525,-42.545,0.0,top
R23,201.295,-50.7765,90.0,top
R24,194.0325,-42.545,0.0,top
R25,192.405,-54.61,270.0,top
R26,189.5875,-42.164,180.0,top
R27,189.5875,-44.45,0.0,top
R28,227.0995,-49.784,0.0,top
R29,227.8145,-68.961,0.0,top
R3,184.5795,-83.759,0.0,top
R30,155.7547,-96.6724,0.0,top
R31,160.5552,-96.6724,0.0,top
R32,184.5075,-90.678,180.0,top
R33,192.405,-58.0625,270.0,top
R34,209.55,-79.2715,270.0,top
R35,212.09,-79.2715,90.0,top
R36,183.835,-68.5565,90.0,top
R37,211.1775,-63.881,180.0,top
R38,188.976,-68.58,90.0,top
R39,207.01,-79.2715,270.0,top
R4,183.896,-93.472,90.0,top
R40,186.436,-68.58,90.0,top
R41,204.47,-79.2715,270.0,top
R42,204.47,-71.0165,270.0,top
R43,207.3675,-63.881,180.0,top
R44,208.915,-66.929,90.0,top
R45,207.01,-75.184,270.0,top
R46,201.93,-67.5405,90.0,top
R47,200.025,-79.309,270.0,top
R48,197.8425,-63.881,180.0,top
R49,197.485,-79.309,90.0,top
R5,183.835,-47.9825,90.0,top
R50,201.295,-75.184,90.0,top
R51,194.0325,-63.881,0.0,top
R52,201.6525,-63.881,0.0,top
R53,180.848,-53.594,90.0,top
R54,180.914,-73.7635,90.0,top
R55,201.295,-71.374,90.0,top
R56,192.405,-74.9065,270.0,top
R57,192.405,-78.359,270.0,top
R58,202.184,-58.7775,270.0,top
R59,202.184,-79.309,270.0,top
R6,186.69,-47.9825,90.0,top
R60,165.3285,-96.647,0.0,top
R61,170.307,-96.647,0.0,top
R62,188.468,-64.008,90.0,top
R63,190.881,-64.008,90.0,top
R7,189.23,-47.9825,90.0,top
R8,209.55,-58.6975,270.0,top
R9,212.09,-58.6975,90.0,top
TP1,178.943,-48.387,0.0,top
TP2,180.975,-69.469,0.0,top
U1,164.846,-67.31,0.0,top
U10,196.595,-73.279,90.0,top
U11,181.0235,-61.976,180.0,top
U12,227.5785,-75.626,0.0,top
U2,187.01,-55.245,180.0,top
U3,219.075,-54.61,0.0,top
U4,210.82,-52.74,90.0,top
U5,196.595,-52.6815,90.0,top
U6,219.075,-75.184,0.0,top
U8,210.785,-73.244,90.0,top
U9,187.01,-75.819,180.0,top
